Ano Fase,Fase Estat,Chamada Divulgação,Instituição Beneficiária Macro,UF Instituição Benef Macro,Grande Área,Área,Qtd Propostas,Total Geral (R$),,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Secretaria de Meio Ambiente e Desenvolvimento Sustentavel,MG,Engenharias,Engenharia Nuclear,1,2500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Sociedade Brasileira de Estudos Interdisciplinares da Comunicacao,SP,Ciências Sociais Aplicadas,Ciência da Informação,1,4000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Sociedade Brasileira de Microondas e Optoeletronica,SP,Engenharias,Engenharia Elétrica,1,4500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade Candido Mendes,RJ,Engenharias,Engenharia de Produção,1,1000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade Catolica de Pelotas,RS,Ciências Exatas e da Terra,Ciência da Computação,1,5000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade Catolica de Santos,SP,Ciências Exatas e da Terra,Ciência da Computação,1,5500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade Catolica de Santos,SP,Engenharias,Engenharia Elétrica,1,3000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Brasilia,DF,Ciências Agrárias,Recursos Florestais e Engenharia Florestal,1,3500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Brasilia,DF,Ciências da Saúde,Nutrição,1,3000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Brasilia,DF,Ciências Exatas e da Terra,Ciência da Computação,1,7000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Brasilia,DF,Ciências Exatas e da Terra,Física,1,4500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Brasilia,DF,Ciências Exatas e da Terra,Geociências,1,4000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Brasilia,DF,Ciências Exatas e da Terra,Química,1,2000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Brasilia,DF,Ciências Sociais Aplicadas,Economia,1,4000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Brasilia,DF,Engenharias,Engenharia Aeroespacial,1,3100,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Brasilia,DF,Engenharias,Engenharia Biomédica,2,7800,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Brasilia,DF,Engenharias,Engenharia Elétrica,2,8135,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Brasilia,DF,Lingüística, Letras e Artes,Lingüística,1,2000,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Caxias do Sul,RS,Ciências Exatas e da Terra,Astronomia,1,4000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Caxias do Sul,RS,Ciências Exatas e da Terra,Química,1,4900,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Fortaleza,CE,Ciências Exatas e da Terra,Ciência da Computação,1,4900,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Franca,SP,Ciências da Saúde,Farmácia,1,5000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Passo Fundo,RS,Ciências da Saúde,Odontologia,1,5000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Sao Paulo,SP,Ciências Agrárias,Agronomia,1,2024,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Sao Paulo,SP,Ciências Agrárias,Medicina Veterinária,1,5500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Sao Paulo,SP,Ciências Biológicas,Bioquímica,1,3000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Sao Paulo,SP,Ciências Biológicas,Fisiologia,1,1000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Sao Paulo,SP,Ciências da Saúde,Enfermagem,4,11860,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Sao Paulo,SP,Ciências da Saúde,Farmácia,1,3500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Sao Paulo,SP,Ciências da Saúde,Medicina,4,15150,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Sao Paulo,SP,Ciências da Saúde,Odontologia,1,3000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Sao Paulo,SP,Ciências Exatas e da Terra,Ciência da Computação,1,5800,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Sao Paulo,SP,Ciências Exatas e da Terra,Física,3,12240,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Sao Paulo,SP,Ciências Exatas e da Terra,Geociências,2,10500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Sao Paulo,SP,Ciências Humanas,Educação,1,5000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Sao Paulo,SP,Ciências Humanas,História,1,3000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Sao Paulo,SP,Ciências Humanas,Psicologia,1,2351,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Sao Paulo,SP,Ciências Humanas,Sociologia,1,5000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Sao Paulo,SP,Ciências Sociais Aplicadas,Economia,1,3000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Sao Paulo,SP,Engenharias,Engenharia Civil,1,4800,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Sao Paulo,SP,Engenharias,Engenharia de Materiais e Metalúrgica,2,7000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Sao Paulo,SP,Engenharias,Engenharia de Produção,1,4500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Sao Paulo,SP,Engenharias,Engenharia Elétrica,4,20233,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade de Sao Paulo,SP,Engenharias,Engenharia Sanitária,1,4500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade do Estado de Santa Catarina,SC,Engenharias,Engenharia Mecânica,1,4500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade do Estado do Rio de Janeiro,RJ,Ciências Biológicas,Ecologia,1,4008,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade do Estado do Rio de Janeiro,RJ,Ciências Biológicas,Morfologia,1,3500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade do Estado do Rio de Janeiro,RJ,Ciências da Saúde,Medicina,1,3000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade do Estado do Rio de Janeiro,RJ,Ciências da Saúde,Saúde Coletiva,1,5000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade do Estado do Rio de Janeiro,RJ,Ciências Exatas e da Terra,Ciência da Computação,1,3200,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade do Estado do Rio de Janeiro,RJ,Ciências Humanas,Antropologia,1,4000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade do Estado do Rio de Janeiro,RJ,Ciências Humanas,Educação,1,2000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade do Estado do Rio de Janeiro,RJ,Ciências Humanas,Geografia,1,2300,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade do Estado do Rio de Janeiro,RJ,Ciências Humanas,Sociologia,1,3200,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade do Estado do Rio de Janeiro,RJ,Ciências Sociais Aplicadas,Desenho Industrial,1,2530,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade do Estado do Rio de Janeiro,RJ,Ciências Sociais Aplicadas,Planejamento Urbano e Regional,1,4000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade do Estado do Rio de Janeiro,RJ,Engenharias,Engenharia Elétrica,1,4200,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade do Estado do Rio de Janeiro,RJ,Engenharias,Engenharia Mecânica,1,4500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade do Estado do Rio de Janeiro,RJ,Engenharias,Engenharia Química,1,6311,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade do Estado do Rio de Janeiro,RJ,Engenharias,Engenharia Sanitária,1,3500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade do Vale do Paraiba,SP,Ciências da Saúde,Farmácia,1,2500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade do Vale do Paraiba,SP,Ciências Exatas e da Terra,Física,1,5000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade do Vale do Rio dos Sinos,RS,Ciências Exatas e da Terra,Ciência da Computação,2,8900,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade do Vale do Rio dos Sinos,RS,Ciências Exatas e da Terra,Física,1,2300,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade do Vale do Rio dos Sinos,RS,Ciências Humanas,Sociologia,1,3500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade do Vale do Rio dos Sinos,RS,Ciências Sociais Aplicadas,Administração,1,5000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade Estadual de Campinas,SP,Ciências Agrárias,Ciência e Tecnologia de Alimentos,3,12900,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade Estadual de Campinas,SP,Ciências Agrárias,Engenharia Agrícola,2,5500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade Estadual de Campinas,SP,Ciências Biológicas,Morfologia,1,4160,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade Estadual de Campinas,SP,Ciências da Saúde,Saúde Coletiva,1,4500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Universidade Estadual de Campinas,SP,Ciências Exatas e da Terra,Ciência da Computação,1,2850,,
