Ano_Fase;Fase Estat;Chamada Divulgação;Instituição_Beneficiária;UF_Instituição_Benef;Grande Área;Área;Qtd_Propostas;Total_Geral
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Sao Paulo;SP;Ciências da Saúde;Enfermagem;4;11.860
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Sao Paulo;SP;Ciências da Saúde;Farmácia;1;3.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Sao Paulo;SP;Ciências da Saúde;Medicina;4;15.150
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Sao Paulo;SP;Ciências da Saúde;Odontologia;1;3.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Sao Paulo;SP;Ciências Exatas e da Terra;Ciência da Computação;1;5.800
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Sao Paulo;SP;Ciências Exatas e da Terra;Física;3;12.240
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Sao Paulo;SP;Ciências Exatas e da Terra;Geociências;2;10.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Sao Paulo;SP;Ciências Humanas;Educação;1;5.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Sao Paulo;SP;Ciências Humanas;História;1;3.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Sao Paulo;SP;Ciências Humanas;Psicologia;1;2.351
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Sao Paulo;SP;Ciências Humanas;Sociologia;1;5.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Sao Paulo;SP;Ciências Sociais Aplicadas;Economia;1;3.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Sao Paulo;SP;Engenharias;Engenharia Civil;1;4.800
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Sao Paulo;SP;Engenharias;Engenharia de Materiais e Metalúrgica;2;7.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Sao Paulo;SP;Engenharias;Engenharia de Produção;1;4.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Sao Paulo;SP;Engenharias;Engenharia Elétrica;4;20.233
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Sao Paulo;SP;Engenharias;Engenharia Sanitária;1;4.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade do Estado de Santa Catarina;SC;Engenharias;Engenharia Mecânica;1;4.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade do Estado do Rio de Janeiro;RJ;Ciências Biológicas;Ecologia;1;4.008
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade do Estado do Rio de Janeiro;RJ;Ciências Biológicas;Morfologia;1;3.500
